ááattsistaawa,ááattsistaa,ááattsistaa,ááattsistaa,NA,,pers assumed
ááhsowawa,ááhsowa,ááhsowa,áhsowa,NA,,VLV a?; pers assumed
aakaiksamaiksi,aakaiksamaiksi,aakaiksamaiksi,aakaiksamaiksi,NA,,proper; plural
aakáíksimonniipokaawa,aakáíksimonniipokaa,aakáíksimonniipokaa,aakáíksimonniipokaa,NA,,"VLV a?; pers, elsewhere assumed"
aakaipokaiksiwa,aakaipokaiksi,aakaipokaiksi,aakaipokaiksi,NA,,proper; plural
aakáísatstsaawa,aakáísatstsaa,akáísatstsaa,akáísatstsaa,NA,,VLV a?; elsewhere assumed
aakáísta'aowa,aakáísta'ao,aakáísta'ao,aakáísta'ao,NA,,proper
aakáókiinaawa,aakáókiinaa,aakáókiinaa,aakáókiinaa,NA,,proper
aakííkoana,aakííkoan2,aakííkoan2,aakííkoan2,NA,,
aakííwa,aakíí,aakíí,aakíí,NA,,
aamsskáápipikaniwa,aamsskáápipikani,aamsskáápipikani,aamsskáápipikani,NA,,proper
aanáó'kapiikoana,aanáó'kapiikoan2,aanáó'kapiikoan2,aanáó'kapiikoan2,NA,,"pers, elsewhere assumed"
aaníítohkatsiwa,aaníítohkatsi,aaníítohkatsi,aaníítohkatsi,NA,,"pers, elsewhere assumed"
aapáíaitapiwa,aapáíaitapi,aapáíaitapi,aapáíaitapi,NA,,proper
áápaiaiwa,áápaiai,áápaiai,áápaiai,NA,,
aapáítapiwa,aapáítapi,aapáítapi,aapáítapi,NA,,"pers, elsewhere assumed"
aapámiaapiikoana,aapámiaapiikoan2,aapámiaapiikoan2,aapámiaapiikoan2,NA,,"pers, elsewhere assumed"
áápaokomiwa,áápaokomi,áápaokomi,áápaokomi,NA,,"pers, elsewhere assumed"
áápataamsstsinnimaawa,áápataamsstsinnimaa,áápataamsstsinnimaa,áápataamsstsinnimaa,NA,,proper
aapátohsaapiikoana,aapátohsaapiikoan2,aapátohsaapiikoan2,aapátohsaapiikoan2,NA,,proper
aapátohsipikániwa,aapátohsipikáni,aapátohsipikáni,aapátohsipikáni,NA,,proper
aapátsínnapisiwa,aapátsínnapisi,aapátsínnapisi,aapátsínnapisi,NA,,"pers, elsewhere assumed"
aapatssaissksikawa,aapatssaissksika,aapatssaissksika,aapatssaissksika,NA,,"pers, elsewhere assumed"
aapiakonsskiwa,aapiakonsski,aapiakonsski,aapiakonsski,NA,,"pers, elsewhere assumed"
áápiikayiwa,áápiikayi,ápiikayi,ápiikayi,NA_IM,,
aapiiksístsimaohkinniwa,aapiiksístsimaohkinni,aapiiksístsimaohkinni,aapiiksístsimaohkinni,NA,,proper
áápiinikimma,áápiinikimm,áápiinikimm,áápiinikimm,NA,,"changed m to mm; pers, elsewhere assumed"
aapiipíssoohsiwa,aapiipíssoohsi,aapiipíssoohsi,aapiipíssoohsi,NA,,"pers, elsewhere assumed"
áápiiwa,áápii,áápii,áápii,NA,,pers assumed
áápikíítokiiwa,áápikíítokii,áápikíítokii,áápikíítokii,NA,,"pers, elsewhere assumed"
aapinákoisisttsiiwa,aapinákoisisttsii,aapinákoisisttsii,aapinákoisisttsii,NA,,"pers, elsewhere assumed"
aapí'siwa,aapí'si,apí'si,apí'si,NA,,VLV a?; pers assumed
aapí'soomitaawa,aapí'soomitaa,apí'soomitaa,apí'soomitaa,NA,,VLV a?; elsewhere assumed
aapisówoohtawa,aapisówoohta,aapisówoohta,aapisówoohta,NA,,proper
aapistsíssksaato'sa,aapistsíssksaato's,aapistsíssksaato's,aapistsíssksaato's,NA,,proper
aapohkinniyiwa,aapohkinniyi,aapohkinniyi,aapohkinniyi,NA,,"pers, elsewhere assumed"
áápohkomiiwa,áápohkomii,áápohkomii,áápohkomii,NA,,"pers, elsewhere assumed"
áápomahkihkinaawa,áápomahkihkinaa,áápomahkihkinaa,áápomahkihkinaa,NA,,"pers, elsewhere assumed"
aapotskinaisahkomaapiwa,aapotskinaisahkomaapi,aapotskinaisahkomaapi,aapotskinaisahkomaapi,NA,,"pers, elsewhere assumed"
áápotskinawa,áápotskina,áápotskina,áápotskina,NA,,elsewhere assumed
áápsksisiwa,áápsksisi,áápsksisi,ápsksisi,NA,,VLV a?; pers assumed
