PS/aahs,yaahs,yahs,yahs,PSBOUND2,,VLV a?
PS/aanist,niit,%^SPaanist,anist,PSBOUND2,,
PS/aapam,aapam,opam,opam,PSBOUND2,,
PS/áápi,wáápi,wáápi,wáápi,PSBOUND2,,"assumed -- cf waapi, naapikoan, primarily nominal?"
PS/ahkiaap,ahkiaap,ahkiaap,ahkiaap,PSBOUND2,,cf waahkiaap
PS/aiist,aiist,aist,aist,PSBOUND2,,
PS/áísooka,áísooka,áísooka,áísooka,PSBOUND2,,"pers, elsewhere assumed"
PS/aisskahs,aisskahs,aisskahs,aisskahs,PSBOUND2,,
PS/ai'tamáak,ai'tamáak,ai'tamáak,ai'tamáak,PSBOUND2,,"pers, elsewhere assumed"
PS/aka,aka,%^SPi2ka,i2ka,PSBOUND2,,
PS/áka,áka,i2ka,i2ka,PSBOUND2,,pers SP for semantics or morpheme?
PS/akisspí,akisspí,akisspí,akisspí,PSBOUND2,,
PS/akk,akk,akk,akk,PSBOUND2,,"pers, elsewhere assumed"
PS/akka(w/y),akkaG,akkaG,akkaG,PSBOUND2,,
PS/akoksska,akoksska,akoksska,akoksska,PSBOUND2,,
PS/a'kooht,a'kooht,a'kooht,a'kooht,PSBOUND2,,"pers, elsewhere assumed"
PS/ákstam,ákstam,ákstam,ákstam,PSBOUND2,,maybe polarity?
PS/ama,ama,ama,ama,PSBOUND2,,cannot find evidence for iima context
PS/amo'tap,amo'tap,omo'tap,omo'tap,PSBOUND2,,"initial, pers assumed, variation may not be positional"
PS/ano(w/y),anoG,anoG,anoG,PSBOUND2,,
PS/anootap,anootap,anootap,anootap,PSBOUND2,,"pers, elsewhere assumed"
PS/ao'tamáak,ao'tamáak,ao'tamáak,ao'tamáak,PSBOUND2,,"initial, elsewhere assumed"
PS/á'p,á'p,á'p,á'p,PSBOUND2,,
PS/apak,apak,opak,opak,PSBOUND2,,pers assumed
PS/apa'p,apa'p,apa'p,apa'p,PSBOUND2,,"initial, pers assumed"
PS/apoyi,apoyi,apoyi,apoyi,PSBOUND2,,
PS/a's,wa's,wa's,wa's,PSBOUND2,,
PS/aso,aso,aso,aso,PSBOUND2,,"pers, elsewhere assumed"
PS/aso,aso,%^SPi2so,i2so,PSBOUND2,,"if related to asoyinn barrel, seems like these might be accurate"
PS/assaak,assaak,assaak,assaak,PSBOUND2,,"pers, elsewhere assumed, may only be used initially, or in imperatives?"
PS/atso't,atso't,atso't,atso't,PSBOUND2,,
PS/awa',awa',awa',awa',PSBOUND2,,"pers, elsewhere assumed"
PS/ayaam,ayaam,ayaam,ayaam,PSBOUND2,,iyaam variant might be past?
PS/ihta(w/y),ihtaG,ihtaG,ihtaG,PSBOUND2,,
PS/ihtatsiki,ihtatsiki,ihtatsiki,ihtatsiki,PSBOUND2,,doesn't always display x sibilation
PS/ihtatsiki,tatsiki,i2htatsiki,i2htatsiki,PSBOUND2,Flag,i2 for x sibilation
PS/ihtsis,ihtsis,ihtsis,ihtsis,PSBOUND2,,
PS/iihtsitok,iihtsitok,ohtsitok,ohtsitok,PSBOUND2,,"initial, pers assumed; based on iihtsitssitak, oht (could be omoht for pers?)"
PS/iihtsitssitak,iihtsitssitak,ohtsitssitak,ohtsitssitak,PSBOUND2,,"pers, elsewhere assumed, see iihtsitok"
PS/iik,i2ik,i2ik,i2ik,PSBOUND2,,
PS/iikska',i2ikska',i2ikska',i2ikska',PSBOUND2,,assumed based on iik
PS/iin,iin,iin,iin,PSBOUND2,,"initial assumed, length variation for pers, elsewhere, cf iinatt"
PS/iinao'k,iinao'k,iinao'k,iinao'k,PSBOUND2,,elsewhere assumed
PS/iinatt,iinatt,iinatt,iinatt,PSBOUND2,,"initial assumed, no apparent length variation cf iin"
