aanistaiisi,aanistaiisi,aanistaiisi,aanistaiisi,VAI,,VLV a?; pers assumed
aanistápssi,aanistápssi,aanistápssi,aanistápssi,VAI,,"cf aanistapii; pers, elsewhere assumed; VLV a?"
aanistá'pssi,aanistá'pssi,aanistá'pssi,aanistá'pssi,VAI,,"cf aanista'pii; pers, elsewhere assumed; VLV a?"
aapamoo,aapamoo%^DIPH,aapamoo%^DIPH,aapamoo%^DIPH,VAI,,cf opamoo??
aawapsspiinao'si,aawapsspiinao'si,aawapsspiinao'si,aawapsspiinao'si,VAI,,
aawápsspiinao'sskaa,aawápsspiinao'sskaa,aawápsspiinao'sskaa,aawápsspiinao'sskaa,VAI,,
aiistoo,aiistoo%^DIPH,aiistoo%^DIPH,aiistoo%^DIPH,VAI,,"pers, elsewhere assumed"
aiitoohtsimi,aiitoohtsimi,aiitoohtsimi,aiitoohtsimi,VAI,,
áíkkakiiyi,áíkkakiiyi,áíkkakiiyi,áíkkakiiyi,VAI,,
áísspihka'si,áísspihka'si,áísspihka'si,áísspihka'si,VAI,,
akaahtoipoyi,kaahtoipoyi,akaahtoipoyi,akaahtoipoyi,VAI,,
akkawa'pssi,akkawa'pssi,akkawa'pssi,akkawa'pssi,VAI,,pers assumed
ami,ami,ami,ami,VAI,,
ánistsska'si,ánistsska'si,ánistsska'si,ánistsska'si,VAI,,
aotokiaaki,aotokiaaki,aotokiaaki,aotokiaaki,VAI,,elsewhere assumed
a'painahkimaa,a'painahkimaa,a'painahkimaa,a'painahkimaa,VAI,,
a'pami,a'pami,a'pami,a'pami,VAI,,pers assumed
a'panii,a'panii,a'panii,a'panii,VAI,,"pers, elsewhere assumed"
á'páóoyi'kaa,á'páóoyi'kaa,á'páóoyi'kaa,á'páóoyi'kaa,VAI,,
a'pihkahtaki,a'pihkahtaki,a'pihkahtaki,a'pihkahtaki,VAI,,"pers, elsewhere assumed"
a'piksikka'yi,a'piksikka'yi,a'piksikka'yi,a'piksikka'yi,VAI,,
a'pistohkimaa,a'pistohkimaa,a'pistohkimaa,a'pistohkimaa,VAI,,"pers, elsewhere assumed"
á'pistotaki,á'pistotaki,á'pistotaki,á'pistotaki,VAI,,elsewhere assumed
a'písttaapiksistaki,a'písttaapiksistaki,a'písttaapiksistaki,a'písttaapiksistaki,VAI,,
a'písttaapikssi,a'písttaapikssi,a'písttaapikssi,a'písttaapikssi,VAI,,
a'písttotsi,a'písttotsi,a'písttotsi,a'písttotsi,VAI,,
á'pitsííhtaa,á'pitsííhtaa,á'pitsííhtaa,á'pitsííhtaa,VAI,,
á'pohpá'wani,á'pohpá'wani,á'pohpá'wani,á'pohpá'wani,VAI,,
a'pohpii,a'pohpii,a'pohpii,a'pohpii,VAI,,"pers, elsewhere assumed"
apoká'siisi,apoká'siisi,apoká'siisi,apoká'siisi,VAI,,pers assumed
á'poo,á'poo%^DIPH,á'poo%^DIPH,á'poo%^DIPH,VAI,,cf itapoo
a'po'taki,a'po'taki,a'po'taki,a'po'taki,VAI,,
apoyíínaa,apoyíínaa,apoyíínaa,apoyíínaa,VAI,,cf apoyiinaattsi; pers assumed
á'pssapópii,á'pssapópii,á'pssapópii,á'pssapópii,VAI,,
apssi,apssi,apssi,apssi,VAI,,"pers, elsewhere assumed"
a'psskaki,a'psskaki,a'psskaki,a'psskaki,VAI,,"pers, elsewhere assumed"
a'psskiáapikssi,a'psskiáapikssi,a'psskiáapikssi,a'psskiáapikssi,VAI,,"pers, elsewhere assumed"
á'psskootsiiyi,á'psskootsiiyi,á'psskootsiiyi,á'psskootsiiyi,VAI,,
a'psstaki,a'psstaki,a'psstaki,a'psstaki,VAI,,"pers, elsewhere assumed"
a'simi,a'simi,a'simi,a'simi,VAI,,pers assumed
ataksáakiimi,ataksáakiimi,ataksáakiimi,ataksáakiimi,VAI,,pers assumed
ayaamoyi'poyi,ayaamoyi'poyi,ayaamoyi'poyi,ayaamoyi'poyi,VAI,,
ihka'si,ihka'si,ihka'si,ihka'si,VAI,,final?; pers assumed
ihkiitaa,kiitaa,ihkiitaa,ihkiitaa,VAI,,
ihksika,ihksika,ihksika,ihksika,VAI,,
ihksika,,,i2hksika,VAI,,
